AISEQ,AICANT,AIALMACEN
2,2.000,109
3,-1.000,109
4,-1.000,109
5,1.000,109
6,1.000,109
14,-1.000,109
15,-1.000,109
16,-1.000,109
17,-1.000,109
18,-1.000,109
80186,1.000,109
80187,1.000,109
80188,1.000,109
80241,1.000,109
80309,-2.000,109
80317,1.000,109
80318,1.000,109
80319,4.000,109
80320,6.000,109
80321,6.000,109
80322,1.000,109
80323,3.000,109
80324,4.000,109
80325,4.000,109
80326,3.000,109
80327,6.000,109
80328,6.000,109
80329,12.000,109
80330,2.000,109
80331,18.000,109
80332,6.000,109
80333,6.000,109
80334,3.000,109
80335,12.000,109
80336,9.000,109
80337,4.000,109
80338,4.000,109
80339,6.000,109
80340,6.000,109
80341,2.000,109
80342,1.000,109
80343,8.000,109
80344,3.000,109
80345,1.000,109
80346,3.000,109
80347,4.000,109
80348,1.000,109
80349,1.000,109
80350,1.000,109
80351,2.000,109
80352,2.000,109
80353,1.000,109
80354,1.000,109
80355,1.000,109
80356,1.000,109
80357,3.000,109
80358,2.000,109
80359,1.000,109
80360,1.000,109
80361,2.000,109
80362,1.000,109
80363,2.000,109
80364,1.000,109
80365,1.000,109
80366,1.000,109
80367,2.000,109
80368,2.000,109
80369,1.000,109
80370,2.000,109
80371,2.000,109
80372,1.000,109
80373,1.000,109
80374,1.000,109
80375,1.000,109
80376,1.000,109
80377,1.000,109
80378,1.000,109
80379,1.000,109
80380,1.000,109
80381,1.000,109
80382,2.000,109
80383,2.000,109
80384,2.000,109
80385,2.000,109
80386,2.000,109
80387,1.000,109
80388,2.000,109
80389,1.000,109
80390,1.000,109
80391,1.000,109
80392,1.000,109
80393,1.000,109
80394,1.000,109
80395,1.000,109
80396,1.000,109
80397,2.000,109
80398,2.000,109
80399,2.000,109
80400,1.000,109
80401,1.000,109
80402,2.000,109
80403,2.000,109
80404,1.000,109
80405,3.000,109
80406,2.000,109
80407,1.000,109
80408,2.000,109
80409,1.000,109
80410,2.000,109
80411,2.000,109
80412,2.000,109
80413,2.000,109
80414,1.000,109
80415,1.000,109
80416,1.000,109
80417,1.000,109
80418,2.000,109
80419,2.000,109
80420,2.000,109
80421,2.000,109
80422,1.000,109
80423,1.000,109
80424,1.000,109
80425,1.000,109
80426,2.000,109
80427,1.000,109
80428,1.000,109
80429,2.000,109
80430,2.000,109
80431,3.000,109
80432,1.000,109
80433,1.000,109
80434,1.000,109
80435,1.000,109
80436,1.000,109
80437,2.000,109
80438,2.000,109
80439,1.000,109
80440,2.000,109
80441,4.000,109
80442,4.000,109
80443,4.000,109
80444,4.000,109
80445,4.000,109
80446,2.000,109
80447,1.000,109
80448,2.000,109
80449,1.000,109
80450,3.000,109
80451,4.000,109
80452,4.000,109
80453,3.000,109
80454,1.000,109
80455,2.000,109
80456,3.000,109
80457,1.000,109
80458,1.000,109
80459,2.000,109
80460,2.000,109
80461,2.000,109
80462,6.000,109
80463,2.000,109
80464,6.000,109
80465,5.000,109
80466,1.000,109
80467,2.000,109
80468,2.000,109
80469,4.000,109
80470,6.000,109
80471,6.000,109
80472,2.000,109
80473,1.000,109
80474,1.000,109
80475,4.000,109
80476,1.000,109
80477,3.000,109
80478,2.000,109
80479,2.000,109
80480,2.000,109
80481,1.000,109
80482,2.000,109
80483,2.000,109
80484,4.000,109
80485,4.000,109
80486,4.000,109
80487,3.000,109
80488,4.000,109
80489,2.000,109
80490,1.000,109
80491,2.000,109
80492,2.000,109
80493,2.000,109
80494,2.000,109
80495,2.000,109
80496,5.000,109
80497,6.000,109
80498,8.000,109
80499,4.000,109
80500,3.000,109
80501,3.000,109
80502,3.000,109
80503,1.000,109
80504,2.000,109
80505,4.000,109
80506,4.000,109
80507,2.000,109
80508,3.000,109
80509,4.000,109
80510,1.000,109
80511,1.000,109
80512,1.000,109
80513,1.000,109
80514,1.000,109
80515,2.000,109
80516,1.000,109
80517,1.000,109
80518,1.000,109
80519,1.000,109
80520,1.000,109
80521,2.000,109
80522,1.000,109
80523,2.000,109
80524,1.000,109
80525,1.000,109
80526,2.000,109
80527,2.000,109
80528,2.000,109
80529,2.000,109
80530,2.000,109
80531,1.000,109
80532,2.000,109
80533,1.000,109
80534,1.000,109
80535,1.000,109
80536,1.000,109
80537,1.000,109
80538,1.000,109
80539,1.000,109
80540,1.000,109
80541,2.000,109
80542,2.000,109
80543,2.000,109
80544,2.000,109
80545,1.000,109
80546,1.000,109
80547,1.000,109
80548,1.000,109
80549,1.000,109
80550,1.000,109
80551,2.000,109
80552,1.000,109
80553,3.000,109
80554,2.000,109
80555,1.000,109
80556,1.000,109
80557,1.000,109
80558,1.000,109
80559,2.000,109
80560,2.000,109
80561,2.000,109
80562,1.000,109
80563,2.000,109
80564,1.000,109
80565,3.000,109
80566,1.000,109
80567,1.000,109
80568,2.000,109
80569,2.000,109
80570,2.000,109
80571,1.000,109
80572,1.000,109
80573,1.000,109
80574,1.000,109
80575,1.000,109
80576,1.000,109
80577,1.000,109
80578,2.000,109
80579,1.000,109
80580,2.000,109
80581,2.000,109
80582,1.000,109
80583,2.000,109
80584,2.000,109
80585,3.000,109
80586,3.000,109
80587,1.000,109
80588,3.000,109
80589,2.000,109
80590,1.000,109
80591,1.000,109
80592,3.000,109
80593,1.000,109
80594,1.000,109
80595,2.000,109
80596,2.000,109
80597,2.000,109
80598,2.000,109
80599,4.000,109
80600,3.000,109
80601,2.000,109
80602,1.000,109
80603,1.000,109
80604,2.000,109
80605,1.000,109
80606,1.000,109
80607,1.000,109
80608,2.000,109
80609,1.000,109
80610,1.000,109
80611,1.000,109
80612,3.000,109
80613,1.000,109
80614,1.000,109
80615,1.000,109
80616,2.000,109
80617,3.000,109
80618,2.000,109
80619,2.000,109
80620,1.000,109
80621,2.000,109
80622,3.000,109
80623,3.000,109
80624,2.000,109
80625,1.000,109
80626,1.000,109
80627,2.000,109
80628,5.000,109
80629,5.000,109
80630,1.000,109
80631,2.000,109
80632,3.000,109
80633,3.000,109
80634,1.000,109
80635,1.000,109
80636,1.000,109
80637,1.000,109
80638,1.000,109
80639,1.000,109
80640,1.000,109
80641,2.000,109
80642,2.000,109
80643,2.000,109
80644,2.000,109
80645,2.000,109
80646,1.000,109
80647,2.000,109
80648,2.000,109
80649,2.000,109
80650,1.000,109
80651,3.000,109
80652,2.000,109
80653,2.000,109
80654,1.000,109
80655,4.000,109
80656,3.000,109
80657,4.000,109
80658,4.000,109
80659,2.000,109
80660,1.000,109
80661,2.000,109
80662,2.000,109
80663,2.000,109
80664,2.000,109
80665,2.000,109
80666,1.000,109
80667,1.000,109
80668,1.000,109
80669,2.000,109
80670,1.000,109
80671,2.000,109
80672,4.000,109
80673,4.000,109
80674,4.000,109
80675,4.000,109
80676,4.000,109
80677,2.000,109
80678,1.000,109
80679,1.000,109
80680,2.000,109
80681,2.000,109
80682,2.000,109
80683,2.000,109
80684,2.000,109
80685,1.000,109
80686,2.000,109
80687,3.000,109
80688,2.000,109
80689,2.000,109
80690,1.000,109
80691,4.000,109
80692,9.000,109
80693,2.000,109
80694,3.000,109
80695,2.000,109
80696,2.000,109
80697,1.000,109
80698,1.000,109
80699,1.000,109
80700,1.000,109
80701,3.000,109
80702,4.000,109
80703,1.000,109
80704,1.000,109
80705,1.000,109
80706,3.000,109
80707,2.000,109
80708,1.000,109
80709,3.000,109
80710,1.000,109
80711,1.000,109
80712,2.000,109
80713,1.000,109
80714,1.000,109
80715,1.000,109
80716,2.000,109
80717,4.000,109
80718,2.000,109
80719,1.000,109
80720,1.000,109
80721,1.000,109
80722,2.000,109
80723,4.000,109
80724,3.000,109
80725,2.000,109
80726,2.000,109
80727,1.000,109
80728,1.000,109
80729,3.000,109
80730,2.000,109
80731,5.000,109
80732,7.000,109
80733,1.000,109
80734,1.000,109
80735,4.000,109
80736,1.000,109
80737,2.000,109
80738,1.000,109
80739,3.000,109
80740,1.000,109
80741,1.000,109
80742,1.000,109
80743,1.000,109
80744,1.000,109
80745,1.000,109
80746,2.000,109
80747,2.000,109
80748,2.000,109
80749,1.000,109
80750,1.000,109
80751,1.000,109
80752,1.000,109
80753,1.000,109
80754,1.000,109
80755,1.000,109
80756,1.000,109
80757,1.000,109
80758,2.000,109
80759,2.000,109
80760,1.000,109
80761,1.000,109
80762,3.000,109
80763,1.000,109
80764,2.000,109
80765,1.000,109
80766,13.000,109
80767,2.000,109
80768,1.000,109
80769,4.000,109
80770,2.000,109
80771,3.000,109
80772,5.000,109
80773,7.000,109
80774,3.000,109
80775,2.000,109
80776,3.000,109
80777,6.000,109
80778,6.000,109
80779,3.000,109
80780,5.000,109
80781,5.000,109
80782,3.000,109
80783,1.000,109
80784,3.000,109
80785,6.000,109
80786,2.000,109
80787,1.000,109
80788,5.000,109
80789,2.000,109
80790,2.000,109
80791,12.000,109
80792,1.000,109
80793,2.000,109
80794,10.000,109
80795,1.000,109
80796,5.000,109
80797,12.000,109
80798,5.000,109
80799,6.000,109
80800,2.000,109
80801,3.000,109
80802,3.000,109
80803,2.000,109
80804,1.000,109
80805,1.000,109
80806,3.000,109
80807,2.000,109
80808,1.000,109
80809,9.000,109
80810,3.000,109
80811,14.000,109
80812,5.000,109
80813,4.000,109
80814,1.000,109
80815,1.000,109
80816,1.000,109
80817,1.000,109
80818,1.000,109
80819,1.000,109
80820,2.000,109
80821,2.000,109
80822,3.000,109
80823,2.000,109
80824,1.000,109
80825,3.000,109
80826,3.000,109
80827,1.000,109
80828,2.000,109
80829,4.000,109
80830,2.000,109
80831,2.000,109
80832,3.000,109
80833,2.000,109
80834,2.000,109
80835,2.000,109
80836,2.000,109
80837,1.000,109
80838,2.000,109
80839,8.000,109
80840,10.000,109
80841,1.000,109
80842,1.000,109
80843,1.000,109
80844,1.000,109
80845,1.000,109
80846,3.000,109
80847,2.000,109
80848,5.000,109
80849,1.000,109
80850,1.000,109
80851,2.000,109
80852,1.000,109
80853,1.000,109
80854,2.000,109
80855,2.000,109
80856,2.000,109
80857,2.000,109
80858,3.000,109
80859,1.000,109
80860,2.000,109
80861,4.000,109
80862,3.000,109
80863,2.000,109
80864,3.000,109
80865,2.000,109
80866,2.000,109
80867,3.000,109
80868,7.000,109
80869,1.000,109
80870,2.000,109
80871,1.000,109
80872,1.000,109
80873,4.000,109
80874,5.000,109
80875,2.000,109
80876,2.000,109
80877,1.000,109
80878,4.000,109
